role_id,skill_id,importance_score,level_required
R007,S017,0.8,Advanced
R008,S002,1.0,Advanced
R008,S021,1.0,Advanced
R008,S018,1.0,Advanced
R008,S022,0.6,Intermediate
R008,S017,0.6,Intermediate
R008,S001,0.4,Beginner
R008,S052,0.8,Advanced
R008,S019,0.6,Intermediate
R008,S056,0.6,Intermediate
R009,S001,0.8,Advanced
R009,S010,1.0,Advanced
R009,S019,1.0,Advanced
R009,S057,1.0,Advanced
R009,S002,0.8,Advanced
R009,S011,0.6,Intermediate
R009,S058,0.6,Intermediate
R009,S052,0.6,Intermediate
R009,S054,0.6,Intermediate
R010,S002,1.0,Advanced
R010,S018,0.8,Advanced
R010,S019,0.8,Advanced
R010,S020,1.0,Advanced
R010,S021,0.6,Intermediate
R010,S051,0.6,Intermediate
R010,S052,0.8,Advanced
R010,S056,0.6,Intermediate
R010,S001,0.4,Beginner
R011,S049,1.0,Advanced
R011,S037,0.8,Advanced
R011,S052,1.0,Advanced
R011,S053,1.0,Advanced
R011,S055,0.8,Advanced
R011,S056,0.8,Advanced
R011,S051,0.6,Intermediate
R011,S050,0.6,Intermediate
R011,S025,0.4,Beginner
R011,S002,0.4,Beginner
R011,S018,0.4,Beginner
R012,S050,1.0,Advanced
R012,S052,1.0,Advanced
R012,S053,0.8,Advanced
R012,S056,0.8,Advanced
R012,S055,0.6,Intermediate
R012,S037,0.6,Intermediate
R012,S002,0.6,Intermediate
R012,S018,0.6,Intermediate
R012,S001,0.2,Beginner
R012,S019,0.4,Beginner
R013,S051,0.8,Advanced
R013,S052,1.0,Advanced
R013,S056,1.0,Advanced
R013,S054,1.0,Advanced
R013,S055,0.8,Advanced
R013,S050,0.6,Intermediate
R013,S019,0.6,Intermediate
R013,S018,0.4,Beginner
R014,S002,0.6,Intermediate
R014,S018,0.6,Intermediate
R014,S052,0.8,Advanced
R014,S055,0.6,Intermediate
R014,S050,0.6,Intermediate
R014,S056,0.6,Intermediate
R014,S037,0.4,Beginner
R014,S019,0.4,Beginner
R015,S001,0.8,Advanced
R015,S003,0.8,Advanced
R015,S002,0.8,Advanced
R015,S030,0.8,Advanced
R015,S031,0.6,Intermediate
R015,S032,1.0,Advanced
R015,S034,0.6,Intermediate
R015,S035,0.6,Intermediate
R015,S036,0.8,Advanced
R015,S038,0.6,Intermediate
R015,S044,0.6,Intermediate
R015,S040,0.4,Beginner
R015,S052,0.4,Beginner
R016,S004,1.0,Advanced
R016,S005,0.8,Advanced
R016,S006,1.0,Advanced
R016,S007,1.0,Advanced
R016,S036,0.8,Advanced
R016,S028,0.6,Intermediate
R016,S032,0.4,Beginner
R016,S025,0.4,Beginner
R016,S052,0.4,Beginner
R017,S004,0.8,Advanced
R017,S005,0.6,Intermediate
R017,S006,0.8,Advanced
R017,S007,0.8,Advanced
R017,S001,0.6,Intermediate
R017,S002,0.6,Intermediate
R017,S030,0.6,Intermediate
R017,S032,0.8,Advanced
R017,S036,0.8,Advanced
R017,S038,0.6,Intermediate
R017,S040,0.4,Beginner
R017,S044,0.4,Beginner
R018,S034,1.0,Advanced
R018,S035,0.8,Advanced
R018,S040,0.8,Advanced
R018,S038,0.6,Intermediate
R018,S039,0.6,Intermediate
R018,S001,0.4,Beginner
R018,S003,0.4,Beginner
R018,S052,0.8,Advanced
R018,S055,0.6,Intermediate
R018,S036,0.6,Intermediate
R019,S045,1.0,Advanced
R019,S004,0.6,Intermediate
R019,S008,0.4,Beginner
R019,S036,0.8,Advanced
R019,S032,0.6,Intermediate
R019,S028,0.6,Intermediate
R019,S025,0.4,Beginner
R019,S040,0.4,Beginner
R020,S008,1.0,Advanced
R020,S046,1.0,Advanced
R020,S047,0.8,Advanced
R020,S057,0.8,Advanced
R020,S036,0.6,Intermediate
R020,S052,0.4,Beginner
R020,S054,0.6,Intermediate
R021,S008,1.0,Advanced
R021,S048,1.0,Advanced
R021,S044,0.8,Advanced
R021,S009,0.4,Beginner
R021,S042,0.6,Intermediate
R021,S036,0.6,Intermediate
R021,S054,0.6,Intermediate
R022,S001,0.8,Advanced
R022,S004,0.6,Intermediate
R022,S032,1.0,Advanced
R022,S033,0.8,Advanced
R022,S030,0.6,Intermediate
R022,S036,0.8,Advanced
R022,S038,0.4,Beginner
R022,S052,0.6,Intermediate
R022,S002,0.4,Beginner
R023,S024,1.0,Advanced
R023,S025,1.0,Advanced
R023,S027,1.0,Advanced
R023,S059,0.8,Advanced
R023,S028,0.6,Intermediate
R023,S052,0.8,Advanced
R023,S053,0.6,Intermediate
R023,S056,0.6,Intermediate
R024,S026,1.0,Advanced
R024,S059,1.0,Advanced
R024,S027,0.8,Advanced
R024,S029,0.8,Advanced
R024,S028,0.6,Intermediate
R024,S007,0.4,Beginner
R024,S052,0.6,Intermediate
R025,S024,1.0,Advanced
R025,S019,0.8,Advanced
R025,S052,1.0,Advanced
R025,S056,0.8,Advanced
R025,S027,0.6,Intermediate
R025,S025,0.6,Intermediate
R025,S058,0.6,Intermediate
R025,S053,0.6,Intermediate
R026,S025,0.8,Advanced
R026,S026,0.8,Advanced
R026,S027,1.0,Advanced
R026,S059,0.8,Advanced
R026,S028,0.6,Intermediate
R026,S052,0.6,Intermediate
R026,S024,0.4,Beginner
R027,S025,1.0,Advanced
R027,S024,0.8,Advanced
R027,S026,0.8,Advanced
R027,S027,1.0,Advanced
R027,S029,0.8,Advanced
R027,S059,0.8,Advanced
R027,S052,0.8,Advanced
R027,S028,0.4,Beginner
R027,S049,0.4,Beginner
R028,S028,1.0,Advanced
R028,S025,0.8,Advanced
R028,S024,0.6,Intermediate
R028,S007,0.6,Intermediate
R028,S052,0.8,Advanced
R028,S026,0.4,Beginner
R028,S058,0.4,Beginner
R029,S038,1.0,Advanced
R029,S039,1.0,Advanced
R029,S041,1.0,Advanced
R029,S040,1.0,Advanced
R029,S044,0.8,Advanced
R029,S060,0.8,Advanced
R029,S036,0.8,Advanced
R029,S001,0.6,Intermediate
R029,S042,0.6,Intermediate
R029,S043,0.4,Beginner
R030,S040,1.0,Advanced
R030,S038,0.8,Advanced
R030,S039,0.8,Advanced
R030,S060,1.0,Advanced
R030,S043,0.8,Advanced
R030,S042,0.6,Intermediate
R030,S041,0.8,Advanced
R030,S034,0.8,Advanced
R030,S052,0.6,Intermediate
R030,S044,0.4,Beginner
R031,S001,0.8,Advanced
R031,S044,1.0,Advanced
R031,S039,0.8,Advanced
R031,S040,0.8,Advanced
R031,S042,0.8,Advanced
R031,S036,0.6,Intermediate
R031,S038,0.6,Intermediate
R031,S041,0.6,Intermediate
R031,S043,0.4,Beginner
R031,S034,0.4,Beginner
R032,S039,1.0,Advanced
R032,S040,1.0,Advanced
R032,S041,0.8,Advanced
R032,S060,0.8,Advanced
R032,S038,0.8,Advanced
R032,S044,0.6,Intermediate
R032,S001,0.6,Intermediate
R032,S034,0.6,Intermediate
R032,S036,0.6,Intermediate
R033,S043,1.0,Advanced
R033,S042,0.8,Advanced
R033,S001,0.8,Advanced
R033,S040,0.6,Intermediate
R033,S038,0.4,Beginner
R033,S044,0.8,Advanced
R033,S034,0.6,Intermediate
R033,S052,0.4,Beginner
R034,S042,1.0,Advanced
R034,S043,0.6,Intermediate
R034,S001,0.4,Beginner
R034,S044,0.6,Intermediate
R034,S040,0.4,Beginner
R035,S001,1.0,Advanced
R035,S011,1.0,Advanced
R035,S012,1.0,Advanced
R035,S057,1.0,Advanced
R035,S019,0.8,Advanced
R035,S058,0.8,Advanced
R035,S017,0.4,Beginner
R035,S008,0.4,Beginner
R035,S052,0.4,Beginner
R036,S001,1.0,Advanced
R036,S011,0.8,Advanced
R036,S015,1.0,Advanced
R036,S038,0.8,Advanced
R036,S039,0.8,Advanced
R036,S040,0.8,Advanced
R036,S041,1.0,Advanced
R036,S036,0.8,Advanced
R036,S044,0.6,Intermediate
R036,S002,0.4,Beginner
R037,S002,1.0,Advanced
R037,S017,0.8,Advanced
R037,S052,0.8,Advanced
R037,S056,0.6,Intermediate
R037,S050,0.6,Intermediate
R037,S001,0.2,Beginner
R037,S019,0.4,Beginner
R038,S037,1.0,Advanced
R038,S055,0.8,Advanced
R038,S052,1.0,Advanced
R038,S053,0.8,Advanced
R038,S056,0.6,Intermediate
R039,S052,1.0,Advanced
R039,S056,0.8,Advanced
R039,S036,0.6,Intermediate
R039,S007,0.4,Beginner
R039,S032,0.4,Beginner
R039,S054,0.6,Intermediate
R040,S043,1.0,Advanced
R040,S042,0.8,Advanced
R040,S001,0.6,Intermediate
R040,S044,0.8,Advanced
R040,S040,0.4,Beginner
R040,S056,0.6,Intermediate
R040,S052,0.4,Beginner
R041,S002,1.0,Advanced
R041,S030,1.0,Advanced
R041,S022,1.0,Advanced
R041,S023,0.8,Advanced
R041,S031,0.6,Intermediate
R041,S040,0.8,Advanced
R041,S001,0.6,Intermediate
R041,S052,0.6,Intermediate
R041,S060,0.4,Beginner
R042,S001,0.8,Advanced
R042,S008,1.0,Advanced
R042,S014,0.8,Advanced
R042,S011,0.6,Intermediate
R042,S044,0.6,Intermediate
R042,S048,0.6,Intermediate
R042,S057,0.8,Advanced
R042,S052,0.4,Beginner
R043,S046,1.0,Advanced
R043,S047,0.8,Advanced
R043,S008,0.6,Intermediate
R043,S025,0.4,Beginner
R043,S052,0.4,Beginner
R043,S057,0.4,Beginner
R044,S001,0.8,Advanced
R044,S004,0.4,Beginner
R044,S009,0.8,Advanced
R044,S043,0.6,Intermediate
R044,S036,0.6,Intermediate
R044,S002,0.4,Beginner
R044,S034,0.4,Beginner
R045,S001,1.0,Advanced
R045,S002,1.0,Advanced
R045,S040,1.0,Advanced
R045,S022,1.0,Advanced
R045,S060,0.8,Advanced
R045,S023,0.8,Advanced
R045,S038,0.6,Intermediate
R045,S039,0.4,Beginner
R045,S030,0.6,Intermediate
R046,S049,1.0,Advanced
R046,S052,1.0,Advanced
R046,S020,0.8,Advanced
R046,S002,0.6,Intermediate
R046,S018,0.6,Intermediate
R046,S050,0.6,Intermediate
R046,S037,0.6,Intermediate
R046,S056,0.8,Advanced
R046,S025,0.4,Beginner
R047,S019,1.0,Advanced
R047,S058,1.0,Advanced
R047,S057,0.8,Advanced
R047,S010,0.8,Advanced
R047,S001,0.6,Intermediate
R047,S052,0.8,Advanced
R047,S056,0.8,Advanced
R047,S011,0.4,Beginner
R048,S043,1.0,Advanced
R048,S041,1.0,Advanced
R048,S038,0.8,Advanced
R048,S039,0.6,Intermediate
R048,S040,0.8,Advanced
R048,S001,0.6,Intermediate
R048,S044,0.8,Advanced
R048,S060,0.4,Beginner
R049,S052,1.0,Advanced
R049,S056,1.0,Advanced
R049,S055,0.8,Advanced
R049,S050,0.8,Advanced
R049,S054,0.8,Advanced
R049,S037,0.4,Beginner
R049,S051,0.4,Beginner
R050,S011,0.8,Advanced
R050,S019,1.0,Advanced
R050,S058,1.0,Advanced
R050,S052,1.0,Advanced
R050,S016,1.0,Advanced
R050,S056,0.8,Advanced
R050,S001,0.4,Beginner
R050,S010,0.4,Beginner
R051,S001,0.6,Intermediate
R051,S010,0.6,Intermediate
R051,S002,0.8,Advanced
R051,S019,0.8,Advanced
R051,S018,1.0,Advanced
R051,S052,1.0,Advanced
R051,S017,0.6,Intermediate
R051,S056,0.6,Intermediate
R052,S013,1.0,Advanced
R052,S001,0.8,Advanced
R052,S019,0.8,Advanced
R052,S058,0.8,Advanced
R052,S011,0.6,Intermediate
R052,S052,0.6,Intermediate
R052,S010,0.4,Beginner
R052,S057,0.4,Beginner
R053,S002,0.8,Advanced
R053,S018,0.8,Advanced
R053,S020,0.8,Advanced
R053,S052,0.8,Advanced
R053,S019,0.6,Intermediate
R053,S001,0.4,Beginner
R053,S050,0.4,Beginner
R054,S013,0.8,Advanced
R054,S001,0.8,Advanced
R054,S011,0.4,Beginner
R054,S052,1.0,Advanced
R054,S056,0.8,Advanced
R054,S058,0.4,Beginner
R054,S032,0.4,Beginner
R054,S016,0.6,Intermediate
R055,S025,0.8,Advanced
R055,S024,1.0,Advanced
R055,S027,0.6,Intermediate
R055,S052,0.8,Advanced
R055,S056,0.6,Intermediate
R055,S059,0.6,Intermediate
R056,S013,0.6,Intermediate
R056,S025,0.8,Advanced
R056,S024,0.8,Advanced
R056,S052,1.0,Advanced
R056,S056,0.6,Intermediate
R056,S027,0.6,Intermediate
R056,S059,0.4,Beginner
R057,S052,0.8,Advanced
R057,S050,0.6,Intermediate
R057,S004,0.2,Beginner
R057,S032,0.4,Beginner
R057,S002,0.2,Beginner
R057,S054,0.6,Intermediate
R058,S002,0.8,Advanced
R058,S018,0.6,Intermediate
R058,S020,0.8,Advanced
R058,S052,0.8,Advanced
R058,S051,0.4,Beginner
R058,S050,0.4,Beginner
R059,S001,0.8,Advanced
R059,S002,0.8,Advanced
R059,S019,0.6,Intermediate
R059,S017,0.6,Intermediate
R059,S018,0.6,Intermediate
R059,S023,0.4,Beginner
R059,S030,0.4,Beginner
R060,S001,0.8,Advanced
R060,S002,0.8,Advanced
R060,S011,0.6,Intermediate
R060,S019,1.0,Advanced
R060,S017,0.8,Advanced
R060,S018,0.8,Advanced
R060,S010,0.6,Intermediate
R060,S052,0.6,Intermediate
R060,S016,0.4,Beginner
R060,S058,0.4,Beginner
R061,S002,1.0,Advanced
R061,S001,0.4,Beginner
R061,S018,0.6,Intermediate
R061,S019,0.6,Intermediate
R061,S017,0.6,Intermediate
R061,S052,0.6,Intermediate
R061,S050,0.4,Beginner
R061,S021,0.4,Beginner
R062,S001,0.8,Advanced
R062,S003,0.8,Advanced
R062,S002,0.8,Advanced
R062,S032,0.8,Advanced
R062,S043,0.8,Advanced
R062,S038,0.6,Intermediate
R062,S039,0.4,Beginner
R062,S040,0.6,Intermediate
R062,S036,0.6,Intermediate
R062,S034,0.4,Beginner
R063,S024,1.0,Advanced
R063,S019,0.8,Advanced
R063,S058,0.8,Advanced
R063,S052,0.8,Advanced
R063,S056,0.8,Advanced
R063,S025,0.6,Intermediate
R063,S027,0.4,Beginner
R063,S054,0.6,Intermediate
